job_id,title,company,priority,subtrack,location,status,reason,applied_at
290626023976,Generative AI Engineer,Xebia It Architects,P1,GENAI_APP,Hybrid - Bengaluru,MANUAL_REVIEW,How many years of experience do you have in Retrieval Augmented Generation? | How many years of experience do you have in MCP? | What is your notice period?,2026-07-05T03:38:24.659989+00:00
030726031282,AI Engineer,Teknuova,P1,GENAI_APP,Hybrid - Gurugram,FAILED,apply response was neither success nor questionnaire workflow,2026-07-05T03:38:29.957822+00:00
040726009305,Generative AI Engineer,Tech Mahindra,P1,GENAI_APP,"Hybrid - Bengaluru, Hyderabad, Chennai",MANUAL_REVIEW,"For Gen AI use-case, which specific LLM or embedding model is currently used & why | How long is the Gen AI use-case deployed in production | How many user are currently using the deployed Gen AI use-case in production | Indicative ROI and metric improved by the Gen AI use-case | Non functional requirement covered as part of Gen AI use-case | What is your notice period?",2026-07-05T03:38:35.398498+00:00
030726015760,Python AI Engineer (GenAI / Agentic AI),Orcapod Consulting Services,P1,AGENTIC,"Hybrid - Bengaluru, Hyderabad, Bangalore Rural",MANUAL_REVIEW,How many years of experience do you have in Agentic AI? | Current location | What is your notice period? | preferred location | What is your Last Working Day? | Please share your WhatsApp number (if call is not reachable),2026-07-05T03:38:40.852679+00:00
100626022445,Lead GenAI Engineer,Ascendion Engineering,P1,GENAI_APP,Hybrid - Bengaluru,MANUAL_REVIEW,How many years of experience do you have in Rag? | What is your notice period?,2026-07-05T03:38:46.309728+00:00
020726009348,Gen AI Engineer,Persistent,P1,GENAI_APP,"Mumbai, Bengaluru",APPLIED,application completed without questionnaire,2026-07-05T03:38:51.608512+00:00
030726022268,Generative AI Engineer,The Glove,P1,GENAI_APP,India,UNKNOWN_FAILURE,unrecognized apply response structure; response=data/responses/20260705T062030665636Z__030726022268__initial_apply_unknown.json,2026-07-05T06:20:30.667031+00:00
300626030743,Generative and Agentic AI Engineer,EY,P1,AGENTIC,"Hybrid - Mumbai, Bengaluru",UNKNOWN_FAILURE,unrecognized apply response structure; response=data/responses/20260705T062036041675Z__300626030743__initial_apply_unknown.json,2026-07-05T06:20:36.043130+00:00
030726020295,"GenAI Engineer, Software Specialist Engineer",WOW Softech,P1,GENAI_APP,"Bengaluru, Hyderabad",UNKNOWN_FAILURE,unrecognized apply response structure; response=data/responses/20260705T062041334165Z__030726020295__initial_apply_unknown.json,2026-07-05T06:20:41.335082+00:00
010726929414,Gen AI - Engineer,Iris Software,P1,GENAI_APP,Noida,UNKNOWN_FAILURE,unrecognized apply response structure; response=data/responses/20260705T062046662640Z__010726929414__initial_apply_unknown.json,2026-07-05T06:20:46.664199+00:00
290626003591,Hiring - Senior_AI Developer - Velachery Chennai,Global Healthcare Billing Partners,P1,GENAI_APP,Chennai(Velachery),UNKNOWN_FAILURE,unrecognized apply response structure; response=data/responses/20260705T062051983036Z__290626003591__initial_apply_unknown.json,2026-07-05T06:20:51.983459+00:00
030726031282,AI Engineer,Teknuova,P1,GENAI_APP,Hybrid - Gurugram,UNKNOWN_FAILURE,unrecognized apply response structure; response=data/responses/20260705T062057304619Z__030726031282__initial_apply_unknown.json,2026-07-05T06:20:57.306200+00:00
220526014565,GenAI & LLM Integration Engineer For a leading healthcare org in Delhi,GIST Management Solutions ,P1,GENAI_APP,"New Delhi, Gurugram, Delhi / NCR",MANUAL_REVIEW,"Are you currently staying in South Delhi or willing to relocate to South Delhi? | How many years of experience do you have in MCP Connector Development? | How soon can you join us, if you get selected?",2026-07-05T06:21:02.832586+00:00
170626018387,Lead Gen AI Engineer,Ascendion Engineering,P1,GENAI_APP,Hybrid - Bengaluru,UNKNOWN_FAILURE,unrecognized apply response structure; response=data/responses/20260705T062108132049Z__170626018387__initial_apply_unknown.json,2026-07-05T06:21:08.133660+00:00
300626036268,Contract_AI ML Engineer(Databricks)_Bangalore(1 year contract),World Wide Technology,P1,GENAI_APP,Hybrid - Bengaluru,MANUAL_REVIEW,What is the reason of Job change? | How many years of experience do you have in Data Bricks? | How many years of experience do you have in AI/ Ml? | Are you comfortable with 1 Year contract?,2026-07-05T06:21:13.810083+00:00
290626905126,AI Engineer – RAG,Taxmann Publications,P1,GENAI_APP,New Delhi,UNKNOWN_FAILURE,unrecognized apply response structure; response=data/responses/20260705T062119143876Z__290626905126__initial_apply_unknown.json,2026-07-05T06:21:19.145155+00:00
030726032250,Artificial Intelligence Engineer,Hiringeye Solutions,P1,GENAI_APP,Bengaluru,MANUAL_REVIEW,How many years of experience do you have in AI Evaluation? | How many years of experience do you have in Natural Language Processing? | How many years of experience do you have in Prompt Engineering? | Do you have any experience working in the EdTech domain?,2026-07-05T06:21:24.483314+00:00
230226011427,Senior / Lead GenAI Engineer - Data and AI,Tiger Analytics,P1,GENAI_APP,"Hybrid - Bengaluru, Hyderabad, Chennai",APPLIED,questionnaire resolved and submitted,2026-07-05T06:21:30.067281+00:00
030726014339,ML & GenAI Platform Engineer,Nisum,P1,AI_PLATFORM,"Bhubaneswar, Hyderabad",MANUAL_REVIEW,How many years of experience do you have in Large Language Model? | Please select the city you are currently residing or willing to relocate to | What is your notice period?,2026-07-05T06:21:35.620463+00:00
160626033705,AI Engineer - Agentic AI,Tech Mahindra,P1,AGENTIC,"Hybrid - Bengaluru, Hyderabad, Delhi / NCR",MANUAL_REVIEW,This opportunity is a direct contract role with a project duration of 1 Year. Are you willing to go ahead?,2026-07-05T06:21:41.059938+00:00
291225023379,AI Engineer,In4velocity,P1,GENAI_APP,Bengaluru,MANUAL_REVIEW,How many years of experience do you have in Natural Language Processing? | How many years of experience do you have in SQL? | How many years of experience do you have in API development? | What is your notice period?,2026-07-05T06:21:46.770262+00:00
290626905156,Experienced Prompt Engineer,Taxmann Publications,P1,GENAI_APP,New Delhi,UNKNOWN_FAILURE,unrecognized apply response structure; response=data/responses/20260705T062152049588Z__290626905156__initial_apply_unknown.json,2026-07-05T06:21:52.050101+00:00
290626928289,AI Engineer / GenAI Developer (Python),Capgemini,P1,GENAI_APP,Navi Mumbai,UNKNOWN_FAILURE,unrecognized apply response structure; response=data/responses/20260705T062157381472Z__290626928289__initial_apply_unknown.json,2026-07-05T06:21:57.382518+00:00
300626903376,Custom Software Engineer,Accenture,P1,GENAI_APP,Bengaluru,EXTERNAL,external company application,2026-07-05T06:22:02.558902+00:00
300626905000,Custom Software Engineer,Accenture,P1,GENAI_APP,Bengaluru,EXTERNAL,external company application,2026-07-05T06:22:07.730980+00:00
300626903083,Custom Software Engineer,Accenture,P1,GENAI_APP,Bengaluru,EXTERNAL,external company application,2026-07-05T06:22:12.903321+00:00
290626009074,Gen AI Engineer,Tata Consultancy Services,P1,GENAI_APP,"Pune, Bengaluru, New Delhi",MANUAL_REVIEW,Are you available for virtual interview on 1st July 2026,2026-07-05T06:31:04.114341+00:00
100626023410,Lead GenAI Developer,Experis,P1,GENAI_APP,Pune,MANUAL_REVIEW,Please mention your last working day? | Please mention your PAN Number? | Please mention your DOB(DD/MM/YYYY)? | Are you ready to work 2 alternate Saturdays  every month?,2026-07-05T06:31:09.571732+00:00
030726000068,AI Engineer,Sonata Software,P1,GENAI_APP,Hybrid - Pune,MANUAL_REVIEW,How many years of experience do you have in .Net?,2026-07-05T06:31:15.028159+00:00
050626013211,Artificial Intelligence Engineer,Umanist India,P1,GENAI_APP,Pune(Viman Nagar),MANUAL_REVIEW,What is your notice period?,2026-07-05T06:31:20.470168+00:00
300626028556,Gen AI Engineer - Immediate joiner,Win Solutions,P1,GENAI_APP,"Hybrid - Pune, Chennai",MANUAL_REVIEW,What is your notice period?,2026-07-05T06:31:25.871124+00:00
030726032412,AI Engineer-Pan India,Infosys,P1,GENAI_APP,"Hybrid - Pune, Bengaluru, Chennai",MANUAL_REVIEW,"Are you ex-employee of Infosys, if no mention NA, if yes please mention ex infy ID. | What is your notice period?",2026-07-05T06:31:31.203181+00:00
030726032365,Generative AI Engineer-Pan India,Infosys,P1,GENAI_APP,"Hybrid - Pune, Bengaluru, Chennai",MANUAL_REVIEW,"Are you ex-employee of Infosys, if no mention NA, if yes please mention ex infy ID. | What is your notice period?",2026-07-05T06:31:36.560997+00:00
300626035690,Generative AI Engineer,Coforge,P1,GENAI_APP,"Pune, Hyderabad, Greater Noida",MANUAL_REVIEW,Please select the city you are currently residing or willing to relocate to,2026-07-05T06:31:43.578450+00:00
030726016050,ML Engineer (Azure ML | MLOps | Generative AI),Ascentforce Services,P1,GENAI_APP,Remote,MANUAL_REVIEW,"Have you worked on Generative AI/LLM-based applications (RAG, Prompt Engineering, Fine-tuning, Vector Databases, AI Agents)? | What is your notice period?",2026-07-05T06:31:48.983732+00:00
010726009131,GenAI Developer - Remote working,Gainwell Technologies,P1,GENAI_APP,Remote,MANUAL_REVIEW,What is your notice period?,2026-07-05T06:31:54.393164+00:00
030726022268,Generative AI Engineer,The Glove,P1,GENAI_APP,India,UNKNOWN_FAILURE,unrecognized apply response structure; response=data/responses/20260705T063200063262Z__030726022268__initial_apply_unknown_failure.json,2026-07-05T06:32:00.064933+00:00
010726009857,AI Engineer,Black And White Business Solutions,P1,GENAI_APP,"Bengaluru, Hyderabad, Chennai",MANUAL_REVIEW,What is your notice period? | Please select the city you are currently residing or willing to relocate to,2026-07-05T06:32:05.514879+00:00
180626026911,Lead Generative AI Engineer,Ascendion Engineering,P1,GENAI_APP,Hybrid - Bengaluru,MANUAL_REVIEW,What is your notice period? | Level - 1 Interview is a test in Hacker Rank . Are you comfortable writing a hacker rank test? | Are you ok with F2F interview for Final round ?( Bangalore location),2026-07-05T06:32:10.961933+00:00
010726009226,"Senior GenAI Engineer (LLM, RAG)",Ascendion Engineering,P1,GENAI_APP,Hybrid - Bengaluru,MANUAL_REVIEW,Are you available in Bangalore on 11th July 2026 (Saturday) for In Person Face to Face Interview? | What is your notice period?,2026-07-05T06:32:16.394401+00:00
190626004969,Gen AI,Infosys,P1,GENAI_APP,"Mumbai (All Areas), Bengaluru, Hyderabad",MANUAL_REVIEW,What is your notice period?,2026-07-05T06:32:21.977286+00:00
030626011651,"AI Engineer (Python, AI/ML, LLMs, Agentic AI)",EY,P1,AGENTIC,"Bengaluru, Bangalore Rural, Chennai",MANUAL_REVIEW,What is your notice period?,2026-07-05T06:32:27.434209+00:00
300626030743,Generative and Agentic AI Engineer,EY,P1,AGENTIC,"Hybrid - Mumbai, Bengaluru",UNKNOWN_FAILURE,unrecognized apply response structure; response=data/responses/20260705T063232768224Z__300626030743__initial_apply_unknown_failure.json,2026-07-05T06:32:32.769981+00:00
030726020295,"GenAI Engineer, Software Specialist Engineer",WOW Softech,P1,GENAI_APP,"Bengaluru, Hyderabad",UNKNOWN_FAILURE,unrecognized apply response structure; response=data/responses/20260705T063238088059Z__030726020295__initial_apply_unknown_failure.json,2026-07-05T06:32:38.089759+00:00
010726929414,Gen AI - Engineer,Iris Software,P1,GENAI_APP,Noida,UNKNOWN_FAILURE,unrecognized apply response structure; response=data/responses/20260705T063243380900Z__010726929414__initial_apply_unknown_failure.json,2026-07-05T06:32:43.382314+00:00
290626003591,Hiring - Senior_AI Developer - Velachery Chennai,Global Healthcare Billing Partners,P1,GENAI_APP,Chennai(Velachery),UNKNOWN_FAILURE,unrecognized apply response structure; response=data/responses/20260705T063248707546Z__290626003591__initial_apply_unknown_failure.json,2026-07-05T06:32:48.709747+00:00
